convert_from,to,rule
tablespoon,cubic meter (m3),1.478676E-05
tablespoon,milliliter (mL),1.478676E+01
teaspoon,cubic meter (m3),4.928922E-06
teaspoon,milliliter (mL),4.928922E+00
"ton, register",cubic meter (m3),2.831685E+00
cubic foot per minute (ft3 / min),cubic meter per second (m3 / s),4.719474E-04
cubic foot per minute (ft3 / min),liter per second (L / s),4.719474E-01
cubic foot per second (ft3 / s),cubic meter per second (m3 / s),2.831685E-02
cubic inch per minute (in3 / min),cubic meter per second (m3 / s),2.731177E-07
cubic yard per minute (yd3 / min),cubic meter per second (m3 / s),1.274258E-02
gallon (U.S.) per day (gal / d),cubic meter per second (m3 / s),4.381264E-08
gallon (U.S.) per day (gal / d),liter per second (L / s),4.381264E-05
gallon (U.S.) per minute (gpm) (gal / min),cubic meter per second (m3 / s),6.309020E-05
gallon (U.S.) per minute (gpm) (gal / min),liter per second (L / s),6.309020E-02
